Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
DEUCRAVA,0.589931597,0.059216913,5.87702518,0.057262855,6.077574926,0.852618981,0,BRODA
ETA,0.771919486,0.40476393,1.472116581,0.400967622,1.486054384,3.036047282,0,BRODA
FUM,0.804196976,0.265917735,2.432078387,0.261656709,2.471684285,1.771099424,0,BRODA
GUSEL,0.871032018,0.463649575,1.636358183,0.459401728,1.651488728,3.108398931,0,BRODA
IFX,1.144808971,0.471535963,2.77940111,0.465470198,2.815620818,2.209701355,0,BRODA
IXE,0.877609433,0.459695786,1.675452202,0.45537722,1.691341341,3.031068196,0,BRODA
MTX,0.077288963,0.008462875,0.705857487,0.008194006,0.729018711,0.886131153,0,BRODA
NETA,0.764068731,0.030377713,19.21807025,0.028980854,20.14436957,0.607761638,0,BRODA
PBO,0.970109737,0.579757256,1.623287836,0.575417048,1.635531836,3.807305993,0,BRODA
RISAN,0.702996049,0.364311621,1.356540435,0.360832744,1.369619173,2.981706612,0,BRODA
SECU,1.027342127,0.568327913,1.857082544,0.563437725,1.873200531,3.310633403,0,BRODA
SONELO,1.196278835,0.223013027,6.417037918,0.217611508,6.576320647,1.166846653,0,BRODA
TILDRA,0.770334049,0.302884515,1.959210581,0.298785496,1.986088868,2.099686573,0,BRODA
USK,0.934292021,0.531612951,1.641987051,0.527255346,1.655557572,3.475957806,0,BRODA
ADA,0.992603177,0.481262703,2.047241686,0.476204042,2.0689893,2.707490155,0,APRE
BIME,0.52334872,0.20244953,1.352899572,0.199662258,1.371785957,2.063684917,0,APRE
BRODA,1.043838259,0.471894966,2.308984813,0.466458011,2.335897948,2.468814215,0,APRE
CERTO,0.707743653,0.256878386,1.949954163,0.25310622,1.97901528,1.933932161,0,APRE
DEUCRAVA,0.615793171,0.060466969,6.271212799,0.058452874,6.487298244,0.844531309,0,APRE
ETA,0.805759092,0.4011775,1.618355252,0.397114426,1.634913444,2.810516021,0,APRE
FUM,0.839451571,0.265352539,2.655632925,0.260928998,2.700653988,1.701847578,0,APRE
GUSEL,0.909216544,0.445945504,1.853757282,0.441332347,1.873134225,2.751315345,0,APRE
IFX,1.194995402,0.466157069,3.063375213,0.459795398,3.105759689,2.082060857,0,APRE
IXE,0.916082302,0.446139954,1.881039297,0.441479114,1.900898046,2.724214265,0,APRE
MTX,0.080677176,0.008634125,0.753846674,0.008357025,0.778842531,0.877062159,0,APRE
NETA,0.797564173,0.031214561,20.37858608,0.029772384,21.36572644,0.604811779,0,APRE
PBO,1.012637658,0.552659424,1.855455606,0.547795779,1.871929407,3.23661039,0,APRE
RISAN,0.733814171,0.347963475,1.547528052,0.344194194,1.564475076,2.626788417,0,APRE
SECU,1.072379017,0.541200253,2.124900626,0.5358249,2.146217459,2.866144572,0,APRE
SONELO,1.248721616,0.225657499,6.910054772,0.22009194,7.084792262,1.145624515,0,APRE
TILDRA,0.804104152,0.302334175,2.138638439,0.29804797,2.169394035,2.003688712,0,APRE
USK,0.975249756,0.488685034,1.946268088,0.483780926,1.965997493,2.836569794,0,APRE
APRE,1.007451944,0.488462113,2.077867231,0.483327778,2.099940177,2.707490155,0,ADA
BIME,0.527248685,0.246307679,1.128633815,0.243586476,1.141242242,2.575251062,0,ADA
BRODA,1.051616882,0.552292625,2.002377033,0.547125175,2.021288946,3.043449322,0,ADA
CERTO,0.713017718,0.287988515,1.765328269,0.284202604,1.788844504,2.161957844,0,ADA
DEUCRAVA,0.620382027,0.06372882,6.039243434,0.06164666,6.24322322,0.861273998,0,ADA
ETA,0.811763563,0.466470071,1.412652436,0.462713018,1.424122636,3.537808706,0,ADA
FUM,0.845707117,0.293635089,2.435746118,0.289135901,2.473648289,1.852840418,0,ADA
GUSEL,0.915991975,0.569470868,1.473370008,0.565533642,1.483627561,4.123711556,0,ADA
IFX,1.203900441,0.527536844,2.747440844,0.521221381,2.780730651,2.37546036,0,ADA
IXE,0.922908896,0.537075653,1.585923372,0.532848103,1.59850589,3.620300247,0,ADA
MTX,0.081278378,0.009116048,0.724675259,0.008829523,0.748191591,0.895859279,0,ADA
NETA,0.803507577,0.032474782,19.88079306,0.030988922,20.83403938,0.610873024,0,ADA
PBO,1.020183777,0.684411189,1.520686623,0.680434908,1.529573111,4.910075799,0,ADA
RISAN,0.739282513,0.440657546,1.240279758,0.437341996,1.249682489,3.788083001,0,ADA
SECU,1.080370325,0.674040519,1.731646697,0.669414818,1.743612492,4.154576282,0,ADA
SONELO,1.258027019,0.242494622,6.526462188,0.236736705,6.685198987,1.190533763,0,ADA
TILDRA,0.810096291,0.338090024,1.941068813,0.333804986,1.965986215,2.24297119,0,ADA
USK,0.982517263,0.601946003,1.603698949,0.597656429,1.615209215,4.000406823,0,ADA
ADA,1.083530568,0.630547489,1.861935083,0.625584182,1.876707443,3.620300247,0,IXE
APRE,1.091604976,0.531621004,2.241449106,0.526067141,2.265112819,2.724214265,0,IXE
BIME,0.571290067,0.250476479,1.30300594,0.247479937,1.318783025,2.377105878,0,IXE
BRODA,1.139459037,0.596853792,2.175351678,0.591246708,2.19598161,3.031068196,0,IXE
CERTO,0.772576493,0.312303376,1.911200721,0.308201554,1.936636692,2.163938312,0,IXE
DEUCRAVA,0.672202889,0.06897408,6.55110916,0.066719444,6.772489373,0.860846213,0,IXE
ETA,0.879570634,0.547484186,1.413090133,0.543708493,1.422903102,4.13414633,0,IXE
FUM,0.916349512,0.317390195,2.64562813,0.312515935,2.686891561,1.848592819,0,IXE
GUSEL,0.992505304,0.629778172,1.564148812,0.625610576,1.574568618,4.308973559,0,IXE
IFX,1.304462928,0.571962247,2.975062669,0.565120134,3.011082823,2.37727414,0,IXE
MTX,0.088067607,0.009865905,0.786131948,0.009555647,0.811656538,0.895377893,0,IXE
NETA,0.87062502,0.035159204,21.55873427,0.033550127,22.59269923,0.610720333,0,IXE
PBO,1.105400307,0.736851406,1.658285278,0.732502054,1.668131622,4.83262636,0,IXE
RISAN,0.801035201,0.451303561,1.421786683,0.447539628,1.433744307,3.416034517,0,IXE
SECU,1.170614271,0.733099656,1.86923805,0.728108684,1.88205113,4.188013976,0,IXE
SONELO,1.36311073,0.26251047,7.078082885,0.25627387,7.250332875,1.189873663,0,IXE
TILDRA,0.877764094,0.374681669,2.056331731,0.370054591,2.082043634,2.302358149,0,IXE
USK,1.064587487,0.653092372,1.735354088,0.648450872,1.747775455,4.011263546,0,IXE
ADA,1.402489692,0.566466882,3.472360694,0.559020081,3.518616595,2.161957844,0,CERTO
APRE,1.412940966,0.512832568,3.892892728,0.505301809,3.950910405,1.933932161,0,CERTO
BIME,0.739460845,0.24727399,2.211321708,0.243351606,2.246964177,1.789260954,0,CERTO
BRODA,1.474881837,0.562878071,3.864560633,0.555019031,3.919282607,2.034735592,0,CERTO
DEUCRAVA,0.870079397,0.080209757,9.438230322,0.077466637,9.772441258,0.822168582,0,CERTO
ETA,1.138490029,0.465037209,2.787216857,0.458999141,2.82388229,2.189110788,0,CERTO
FUM,1.186095514,0.331724073,4.240942046,0.325611679,4.320553157,1.53831834,0,CERTO
