RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
3.605042017,0.936440028,12,CIMPASI-2_2018,CERTO,PBO,0.206630166,62.89656622,0.242895287,3.610279712,0.024039636,36.47808751,0.294638059,1.265952769,0.584493274
3.440677966,0.936440028,12,Reich_2012a,CERTO,PBO,0.433478345,27.30993369,0.242895287,3.610279712,0.024039636,36.47808751,0.419622566,1.265952769,0.584493274
0.514851485,0.936440028,12,Umezawa_2021,CERTO,PBO,0.048542372,5.460632466,0.242895287,3.610279712,0.024039636,36.47808751,0.367973061,1.265952769,0.584493274
0.608108108,0.608108108,13,Papp_2018,DEUCRAVA,PBO,0.064714075,5.714297429,0.064714075,5.714297429,,,0.765341301,,
1.086956522,1.086956522,14,PIECE_2016,ETA,IFX,0.072081124,16.39089973,0.072081124,16.39089973,,,0.521778584,,
1.199828105,0.935929911,15,UNCOVER-2_2015,ETA,IXE,0.501935675,2.868071654,0.48455487,1.80777215,0.013115551,66.78825896,5.058242729,0,0
0.672774869,0.935929911,15,UNCOVER-3_2015,ETA,IXE,0.24634831,1.837341706,0.48455487,1.80777215,0.013115551,66.78825896,3.805872365,0,0
1.125,0.719273461,16,Bachelez_2015,ETA,PBO,0.237246038,5.334651778,0.4324509,1.196330754,0.338505282,1.528349301,1.475662201,0.047040173,0.205085555
0.067058824,0.719273461,16,CIMPACT_2018,ETA,PBO,0.008001248,0.562023047,0.4324509,1.196330754,0.338505282,1.528349301,0.817251219,0.047040173,0.205085555
0.5,0.719273461,16,FIXTURE_2014,ETA,PBO,0.126119894,1.982240804,0.4324509,1.196330754,0.338505282,1.528349301,1.848752784,0.047040173,0.205085555
0.482269504,0.719273461,16,Gottlieb_2011,ETA,PBO,0.030625771,7.594384239,0.4324509,1.196330754,0.338505282,1.528349301,0.49376813,0.047040173,0.205085555
5.059880239,0.719273461,16,LIBERATE_2017,ETA,PBO,0.246616463,103.8145943,0.4324509,1.196330754,0.338505282,1.528349301,0.412672376,0.047040173,0.205085555
0.872204473,0.719273461,16,ReSURFACE-2_2017,ETA,PBO,0.259216111,2.934773764,0.4324509,1.196330754,0.338505282,1.528349301,2.324002313,0.047040173,0.205085555
0.258992806,0.719273461,16,Strober_2011,ETA,PBO,0.023885554,2.808277863,0.4324509,1.196330754,0.338505282,1.528349301,0.655326444,0.047040173,0.205085555
1.987138264,0.719273461,16,Tyring_2006,ETA,PBO,0.501456789,7.874494014,0.4324509,1.196330754,0.338505282,1.528349301,1.849835899,0.047040173,0.205085555
1.877094972,0.719273461,16,UNCOVER-2_2015,ETA,PBO,0.402974103,8.743702158,0.4324509,1.196330754,0.338505282,1.528349301,1.507625959,0.047040173,0.205085555
0.505235602,0.719273461,16,UNCOVER-3_2015,ETA,PBO,0.14805428,1.724117756,0.4324509,1.196330754,0.338505282,1.528349301,2.276654376,0.047040173,0.205085555
0.319444444,0.719273461,16,Vandekerkhof_2008,ETA,PBO,0.055271013,1.846261669,0.4324509,1.196330754,0.338505282,1.528349301,1.178942611,0.047040173,0.205085555
0.547127719,0.547127719,17,FIXTURE_2014,ETA,SECU,0.153702054,1.947591031,0.153702054,1.947591031,,,2.382961515,,
1.388817891,1.388817891,18,ReSURFACE-2_2017,ETA,TILDRA,0.53375166,3.613693937,0.53375166,3.613693937,,,4.200763764,,
0.801152738,0.801152738,19,ACCEPT_2010,ETA,USK,0.243067038,2.640611882,0.243067038,2.640611882,,,2.700370207,,
0.828975265,0.828975265,20,BRIDGE_2017,FUM,PBO,0.311244902,2.20790762,0.311244902,2.20790762,,,4.003036412,,
0.911680912,0.911680912,21,IXORA-R_2020,GUSEL,IXE,0.470156467,1.767841437,0.470156467,1.767841437,,,8.759628537,,
0.605769231,1.066158568,22,Gordon_2015_X-PLORE,GUSEL,PBO,0.06456978,5.683097591,0.498765704,2.279014139,0.363459855,3.127426798,0.766450254,0,0
1.32,1.066158568,22,ORION_2020 ,GUSEL,PBO,0.066544839,26.18384885,0.498765704,2.279014139,0.363459855,3.127426798,0.430404841,0,0
0.5,1.066158568,22,Ohtsuki_2018,GUSEL,PBO,0.072077982,3.468465563,0.498765704,2.279014139,0.363459855,3.127426798,1.024,0,0
1.410334347,1.066158568,22,VOYAGE-1_2016,GUSEL,PBO,0.378971369,5.248530973,0.498765704,2.279014139,0.363459855,3.127426798,2.224463031,0,0
1.333333333,1.066158568,22,VOYAGE-2_2017,GUSEL,PBO,0.35685151,4.981841831,0.498765704,2.279014139,0.363459855,3.127426798,2.210995542,0,0
0.858487701,0.858487701,23,ECLIPSE_2019,GUSEL,SECU,0.545542696,1.350950419,0.545542696,1.350950419,,,18.68744162,,
0.796172249,1.225918857,24,EXPRESS-II_2007,IFX,PBO,0.283836963,2.233289998,0.577651717,2.601700989,0.417095555,3.603196019,3.567335377,0.00339053,0
2.174418605,1.225918857,24,EXPRESS_2005,IFX,PBO,0.513317217,9.210866325,0.577651717,2.601700989,0.417095555,3.603196019,1.831821269,0.00339053,0
6.486146096,1.225918857,24,Gottlieb_2004a,IFX,PBO,0.390485142,107.7380076,0.577651717,2.601700989,0.417095555,3.603196019,0.485687925,0.00339053,0
0.542857143,1.225918857,24,Torii_2010,IFX,PBO,0.035941456,8.199274952,0.577651717,2.601700989,0.417095555,3.603196019,0.520240605,0.00339053,0
1.615384615,1.225918857,24,Yang_2012,IFX,PBO,0.067159915,38.85453783,0.577651717,2.601700989,0.417095555,3.603196019,0.379327435,0.00339053,0
0.469565217,0.902029412,25,Leonardi_2012,IXE,PBO,0.044178035,4.990975615,0.450020162,1.80804579,0.201551951,4.036959474,0.617385202,0.165467009,0.245524294
0.251428571,0.902029412,25,NCT03364309,IXE,PBO,0.051625474,1.22451809,0.450020162,1.80804579,0.201551951,4.036959474,1.222624077,0.165467009,0.245524294
1.793757225,0.902029412,25,UNCOVER-1_2016,IXE,PBO,0.670496713,4.798778164,0.450020162,1.80804579,0.201551951,4.036959474,2.394943932,0.165467009,0.245524294
1.564469914,0.902029412,25,UNCOVER-2_2015,IXE,PBO,0.356438509,6.866727501,0.450020162,1.80804579,0.201551951,4.036959474,1.360534889,0.165467009,0.245524294
0.750972763,0.902029412,25,UNCOVER-3_2015,IXE,PBO,0.276336158,2.040847981,0.450020162,1.80804579,0.201551951,4.036959474,2.349318741,0.165467009,0.245524294
0.732352941,0.732352941,26,IXORA-S_2017  ,IXE,USK,0.178211638,3.009572412,0.178211638,3.009572412,,,1.923238565,,
0.07967033,0.07967033,27,METOP_2017,MTX,PBO,0.009270313,0.684697641,0.009270313,0.684697641,,,0.830200551,,
0.78761062,0.78761062,28,PLANETA_2021,NETA,PBO,0.032637691,19.006568,0.032637691,19.006568,,,0.379032663,,
0.66984127,1.352961311,29,Blauvelt_2021,PBO,RISAN,0.027760053,16.1630573,0.498356731,3.673080338,0.117917008,15.52366659,0.317374415,0.512712228,0.359309856
4.07,1.352961311,29,IMMhance_2020,PBO,RISAN,1.565786489,10.57928403,0.498356731,3.673080338,0.117917008,15.52366659,1.332879753,0.512712228,0.359309856
0.487068966,1.352961311,29,SustaIMM_2019,PBO,RISAN,0.055706078,4.258712592,0.498356731,3.673080338,0.117917008,15.52366659,0.575830784,0.512712228,0.359309856
1.277310924,1.352961311,29,UltIMMa-1_2018  ,PBO,RISAN,0.336545238,4.847857026,0.498356731,3.673080338,0.117917008,15.52366659,1.024790388,0.512712228,0.359309856
0.5,1.352961311,29,UltIMMa-2_2018  ,PBO,RISAN,0.06094582,4.102004016,0.498356731,3.673080338,0.117917008,15.52366659,0.60032173,0.512712228,0.359309856
4.028169014,0.890745224,30,ALLURE_2021,PBO,SECU,0.371495316,43.6779279,0.561068656,1.414135409,0.538831074,1.472496841,0.67616796,0,0
4.163265306,0.890745224,30,CARIMA_2019,PBO,SECU,0.38679559,44.81120896,0.561068656,1.414135409,0.538831074,1.472496841,0.68037027,0,0
0.431746032,0.890745224,30,Cai_2020,PBO,SECU,0.09939283,1.875433429,0.561068656,1.414135409,0.538831074,1.472496841,1.780721323,0,0
