Treatment,Reference,TE,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper
BRODA,APRE,3.1353277357,1.816220956,5.4124912376,1.8032139767,5.4515327281,3.5899029334,0,,,,0.3189459235,0.1847596585,0.5505882774
CERTO,APRE,1.7272227079,0.9483204534,3.1458757133,0.9408648663,3.170804214,3.2689682916000002,0,,,,0.5789641344,0.31788001450000003,1.0544842507
CICLO,APRE,0.9119933037,0.1573452511,5.2860304357,0.1537473168,5.4097320417,1.1154170983,0,,,,1.096499279,0.18918398250000001,6.3552455825
DEUCRAVA,APRE,1.8201370595,0.241170765,13.7367351113,0.234838558,14.1071336166,0.9697392695,0,,,,0.5494091749000001,0.0728002056,4.146285564
ETA,APRE,1.3856516605,0.8116553855,2.3655735656,0.805960699,2.382288028,3.6645790389,0,0.7058823529,0.35996483160000003,1.3842182692,0.7494916588,0.31083063110000003,1.8072148962
FUM,APRE,0.5665540772000001,0.22033940130000002,1.4567686054,0.2176170319,1.4749926491,2.0753842158,0,,,,1.7650565768000002,0.68646273,4.5383741656000005
GUSEL,APRE,3.1356922092,1.8269838099,5.3818570135,1.8140380669,5.4202642216,3.6283964162,0,,,,0.3189088512,0.18581131450000002,0.5473447924
IFX,APRE,6.5200389374,2.3408422973,18.1605176024,2.30948793,18.4070707595,1.9133720283,0,,,,0.1533733172,0.055065546300000004,0.42718861420000004
IXE,APRE,3.9274415459,2.2889388755,6.7388418546,2.2727282726,6.7869077367,3.6303027769,0,,,,0.2546186845,0.14839492340000002,0.4368793287
MTX,APRE,0.90318546,0.1678843747,4.8589630607,0.1642064929,4.967793665,1.1648276134,0,,,,1.1071923147,0.2058115913,5.9562963091
NETA,APRE,0.5841024899,0.2271218585,1.5021703371,0.2243151392,1.520966083,2.074974835,0,,,,1.7120283124,0.6657150208,4.4028463393
PBO,APRE,0.1301354033,0.0759140115,0.2230842878,0.07537729580000001,0.2246727349,3.6365377031,0,6.9546813624,3.3755706587,14.3287158658,8.7065609473,3.8778715172,19.5478894008
RISAN,APRE,3.7395834129,2.1694696822,6.4460380417,2.1539749776,6.4924078726,3.5996891043,0,,,,0.2674094651,0.155135604,0.46093752920000003
