comparison,k,direct,direct_low,direct_up,nma,indirect,indirect_low,indirect_up,p-value
BRODA:MTX,0,,,,12.9384580559,12.9384580559,1.4167741554,118.1583502373,
BRODA:NETA,0,,,,1.3087827833,1.3087827833,0.0520374443,32.9169196511,
BRODA:PBO,5,0.8865348107000001,0.5018327519,1.5661472226000002,1.0308112187,2.0335039949000002,0.6076327346,6.8053254248,0.2229990053
BRODA:RISAN,0,,,,1.4224831018000001,1.4224831018000001,0.7371782316000001,2.7448696776,
BRODA:SECU,0,,,,0.9733855681,0.9733855681,0.5384848842000001,1.7595284322,
BRODA:SONELO,0,,,,0.8359255139,0.8359255139,0.1558399497,4.4839045848,
BRODA:TILDRA,0,,,,1.2981381274000001,1.2981381274000001,0.5104184118,3.3015317602,
BRODA:USK,2,1.4978509317,0.6327311942,3.5458302578,1.0703291662,0.8322295835,0.3948334613,1.7541727017,0.3121258952
CERTO:DEUCRAVA,0,,,,1.1493203992,1.1493203992,0.1059567072,12.4667651087,
CERTO:ETA,1,2.5602409639,0.3015076507,21.7401905968,0.878356397,0.6998194809,0.26112210610000003,1.8755490033000002,0.280442311
CERTO:FUM,0,,,,0.8431024218000001,0.8431024218000001,0.2358021878,3.014483031,
CERTO:GUSEL,0,,,,0.7784104424,0.7784104424,0.31703101,1.9112414801000002,
CERTO:IFX,0,,,,0.5922563813,0.5922563813,0.1994621399,1.7585674222,
CERTO:IXE,0,,,,0.7725764931,0.7725764931,0.312308574,1.9111689125,
CERTO:MTX,0,,,,8.7725387419,8.7725387419,0.8793663189,87.5146504041,
CERTO:NETA,0,,,,0.8873814501,0.8873814501,0.0331868934,23.7276152357,
CERTO:PBO,5,0.6062410873,0.2645038317,1.3895006875,0.6989110536,34.2409734998,0.4471273577,2622.1707216605,0.0734527571
CERTO:RISAN,0,,,,0.9644725875000001,0.9644725875000001,0.3825833775,2.4313847041,
CERTO:SECU,0,,,,0.6599752899,0.6599752899,0.2749644692,1.5840860624,
CERTO:SONELO,0,,,,0.5667745665,0.5667745665,0.09409465530000001,3.4139389556,
CERTO:TILDRA,0,,,,0.8801641560000001,0.8801641560000001,0.2860758447,2.7079844583,
CERTO:USK,0,,,,0.7257050289,0.7257050289,0.3006210771,1.751865817,
DEUCRAVA:ETA,0,,,,0.7642398044000001,0.7642398044000001,0.0784516426,7.4448725273,
DEUCRAVA:FUM,0,,,,0.7335660469,0.7335660469,0.0636078132,8.4599535571,
DEUCRAVA:GUSEL,0,,,,0.6772788884000001,0.6772788884000001,0.0697740733,6.5741710458,
DEUCRAVA:IFX,0,,,,0.5153100752,0.5153100752,0.0489436797,5.4255110197,
DEUCRAVA:IXE,0,,,,0.6722028893,0.6722028893,0.0689769653,6.5508350852,
DEUCRAVA:MTX,0,,,,7.6328052197,7.6328052197,0.3418396962,170.429930092,
DEUCRAVA:NETA,0,,,,0.7720923171,0.7720923171,0.0157409794,37.8709946696,
DEUCRAVA:PBO,1,0.6081081081,0.06471407480000001,5.7142974292,0.6081081081,,,,
DEUCRAVA:RISAN,0,,,,0.8391677275,0.8391677275,0.0855740118,8.2291628057,
DEUCRAVA:SECU,0,,,,0.5742309024000001,0.5742309024000001,0.059692444500000004,5.5240010997999995,
DEUCRAVA:SONELO,0,,,,0.49313887310000004,0.49313887310000004,0.0314214744,7.7394823911,
DEUCRAVA:TILDRA,0,,,,0.7658126982,0.7658126982,0.0713741195,8.2168311509,
DEUCRAVA:USK,0,,,,0.6314209940000001,0.6314209940000001,0.0654864304,6.0881692436,
ETA:FUM,0,,,,0.9598637007,0.9598637007,0.33274590400000004,2.7688945616,
ETA:GUSEL,0,,,,0.8862125272,0.8862125272,0.5289231797,1.484852004,
ETA:IFX,1,1.0869565217,0.0720811242,16.3908997336,0.6742779848,0.643197711,0.2740897813,1.5093714672,0.7176832806
ETA:IXE,2,0.9359299109,0.48455486950000004,1.8077721496999999,0.8795706341,0.8226393571,0.4153804958,1.6291942416,0.7898433733
ETA:MTX,0,,,,9.9874478875,9.9874478875,1.1193558945,89.1129584419,
ETA:NETA,0,,,,1.0102749329,1.0102749329,0.040812456500000004,25.0084294583,
ETA:PBO,11,0.7232803119,0.44390829390000003,1.1784740606,0.7957032657,0.9771324565,0.4774328283,1.9998370054999999,0.49634709060000004
ETA:RISAN,0,,,,1.0980424242,1.0980424242,0.6162638378,1.9564626245,
ETA:SECU,1,0.5471277189,0.15370205350000002,1.9475910307,0.7513752871,0.7927007168,0.4705172709,1.3354970484,0.5965234574
ETA:SONELO,0,,,,0.6452671927,0.6452671927,0.12419288810000001,3.3526054221,
ETA:TILDRA,1,1.3888178914,0.5337516595,3.6136939366,1.0020581156,0.5202978175,0.1341976385,2.017247263,0.2459485294
ETA:USK,1,0.8011527377000001,0.2430670382,2.6406118816,0.8262079394,0.8313471441,0.4867906444,1.419785039,0.9557671717
FUM:GUSEL,0,,,,0.9232691334,0.9232691334,0.3225377076,2.6428720508,
FUM:IFX,0,,,,0.7024726368,0.7024726368,0.2079243665,2.3733043594,
FUM:IXE,0,,,,0.9163495123000001,0.9163495123000001,0.317396379,2.6455765863,
FUM:MTX,0,,,,10.4050688444,10.4050688444,0.9788818379,110.6011506812,
FUM:NETA,0,,,,1.0525191568,1.0525191568,0.0376410542,29.4305406438,
FUM:PBO,1,0.8289752650000001,0.3112449016,2.2079076201,0.8289752650000001,,,,
FUM:RISAN,0,,,,1.143956609,1.143956609,0.3909831701,3.3470410584,
FUM:SECU,0,,,,0.7827937305,0.7827937305,0.2788712718,2.1973078137,
FUM:SONELO,0,,,,0.6722487706,0.6722487706,0.10294460080000001,4.3899185201,
FUM:TILDRA,0,,,,1.0439587566,1.0439587566,0.29802583600000004,3.6568973355,
FUM:USK,0,,,,0.8607554789,0.8607554789,0.3051026556,2.4283629816,
GUSEL:IFX,0,,,,0.7608535923,0.7608535923,0.3364357351,1.720679846,
GUSEL:IXE,1,0.9116809117,0.47015646720000004,1.7678414373,0.9925053044000001,1.07073235,0.5726381496,2.0020806613,0.7294129358
GUSEL:MTX,0,,,,11.2698112258,11.2698112258,1.2677888468,100.1812292227,
GUSEL:NETA,0,,,,1.1399917084,1.1399917084,0.0461696845,28.1479310168,
GUSEL:PBO,5,1.0661585678,0.49876570410000004,2.2790141391,0.8978695756,0.8469250110000001,0.543828387,1.3189491232,0.6079023949
GUSEL:RISAN,0,,,,1.2390283262,1.2390283262,0.7252415924000001,2.1167997109,
GUSEL:SECU,1,0.8584877012000001,0.5455426955,1.3509504190000001,0.8478499953,0.8292101416000001,0.45263421330000003,1.5190841494,0.9283532878
GUSEL:SONELO,0,,,,0.728117887,0.728117887,0.14173408540000001,3.7404951377,
GUSEL:TILDRA,0,,,,1.1307198723,1.1307198723,0.47927869710000004,2.6676074638,
GUSEL:USK,0,,,,0.9322909732,0.9322909732,0.5885945366,1.4766811525,
IFX:IXE,0,,,,1.3044629276,1.3044629276,0.5719709124,2.975017597,
IFX:MTX,0,,,,14.8120628468,14.8120628468,1.5313624672000001,143.2692850182,
IFX:NETA,0,,,,1.4983062708000001,1.4983062708000001,0.057255417600000004,39.2088954532,
IFX:PBO,5,1.2238473746,0.5785004962,2.5891116879,1.18008193,0.7242017635,0.0465851924,11.2582597051,0.7176832806
IFX:RISAN,0,,,,1.6284714153,1.6284714153,0.699578091,3.7907407116,
IFX:SECU,0,,,,1.1143405301,1.1143405301,0.5052522865,2.4576926226,
IFX:SONELO,0,,,,0.956975027,0.956975027,0.1653152745,5.5397252612,
IFX:TILDRA,0,,,,1.4861201731,1.4861201731,0.5150841486000001,4.2877521568,
IFX:USK,0,,,,1.2253224308,1.2253224308,0.5520519149,2.7196990337,
IXE:MTX,0,,,,11.3549128409,11.3549128409,1.2721022558000001,101.3550955054,
IXE:NETA,0,,,,1.1486001166,1.1486001166,0.0463876479,28.4403777357,
IXE:PBO,5,0.9477309116,0.5354870092,1.6773401885,0.9046496494,0.8627674022,0.4848689732,1.5351932821,0.8204677365
IXE:RISAN,0,,,,1.2483845887,1.2483845887,0.7033478056,2.2157801145000002,
IXE:SECU,0,,,,0.8542523567,0.8542523567,0.5349819408,1.3640592949,
IXE:SONELO,0,,,,0.7336161165,0.7336161165,0.1412854702,3.809256574,
IXE:TILDRA,0,,,,1.1392582662,1.1392582662,0.4863104663,2.6688905279,
IXE:USK,1,0.7323529412,0.1782116384,3.0095724119,0.9393309729,0.971613409,0.5772249657,1.6354674048,0.7129709856
MTX:NETA,0,,,,0.1011544635,0.1011544635,0.0021695238,4.7163462587,
MTX:PBO,1,0.0796703297,0.009270313,0.6846976411,0.0796703297,,,,
MTX:RISAN,0,,,,0.1099422432,0.1099422432,0.0122372492,0.9877462322,
MTX:SECU,0,,,,0.0752319607,0.0752319607,0.008542733700000001,0.6625335745,
MTX:SONELO,0,,,,0.0646078157,0.0646078157,0.004424656,0.9433885531,
MTX:TILDRA,0,,,,0.1003317491,0.1003317491,0.0101715419,0.9896690149,
MTX:USK,0,,,,0.0827246308,0.0827246308,0.0093710498,0.7302665887,
NETA:PBO,1,0.7876106195,0.0326376907,19.0065679977,0.7876106195,,,,
NETA:RISAN,0,,,,1.086874858,1.086874858,0.043700733400000004,27.0315133241,
NETA:SECU,0,,,,0.7437334755,0.7437334755,0.0303136812,18.2471894043,
NETA:SONELO,0,,,,0.6387045464000001,0.6387045464000001,0.0181062569,22.5305262931,
NETA:TILDRA,0,,,,0.9918667512,0.9918667512,0.0373884825,26.3129067236,
NETA:USK,0,,,,0.8178050474,0.8178050474,0.0332784564,20.0972391349,
PBO:RISAN,5,1.8301853972000002,0.9318998412,3.594354715,1.3799647074,1.12142503,0.6288013317000001,1.9999863777,0.2801725641
PBO:SECU,16,0.8907452239,0.5610686562,1.4141354094,0.9442908172000001,0.9997703561000001,0.6329701854,1.5791277190000002,0.7277377841
PBO:SONELO,1,1.0831168831,0.1826843455,6.4216897154,0.8109394802000001,0.2388558121,0.0061597608000000005,9.2620640216,0.4663803809
PBO:TILDRA,3,1.0271771642,0.3998197362,2.6389215715,1.259336437,1.9706743972,0.4865788042,7.9813537838,0.4491199087
PBO:USK,10,1.023862602,0.6416070947,1.6338575997,1.0383367456,1.0549975208,0.6413738996,1.7353680428,0.9314681720000001
RISAN:SECU,1,1.4908536586,0.5430022698,4.093251087,0.6842862083,0.5442927654,0.3147947009,0.9411041978,0.0856176572
RISAN:SONELO,0,,,,0.5876523334,0.5876523334,0.11233533130000001,3.074146495,
RISAN:TILDRA,0,,,,0.9125859743,0.9125859743,0.3744223136,2.2242615629,
RISAN:USK,3,0.5365446948,0.2743585474,1.0492846397,0.7524371747,1.0223297932,0.5398432279000001,1.9360402279,0.1724315165
SECU:SONELO,1,0.3542905692,0.0198992862,6.3078547782,0.8587814956,1.2913078193,0.18291350680000001,9.116198764,0.4663803809
SECU:TILDRA,0,,,,1.333631985,1.333631985,0.5778199263,3.0780770799,
SECU:USK,2,1.2644407497,0.6953219322,2.2993815317,1.0995942423,0.9967700336,0.6037624997000001,1.6455982283,0.5502217671
SONELO:TILDRA,0,,,,1.5529351668,1.5529351668,0.261852645,9.209789088,
SONELO:USK,0,,,,1.2804121281,1.2804121281,0.2506939797,6.5396672857,
TILDRA:USK,0,,,,0.8245110005,0.8245110005,0.355529928,1.9121270431,
