studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
Rich_2013,SECU,PBO,0.869516339,0.115696836,0.753819502,1.032201822
JUNCTURE_2015,SECU,PBO,0.70137768,0.115696836,0.585680843,1.106951713
Reich_2015,SECU,PBO,0.554075608,0.115696836,0.438378771,1.423743486
TRANSFIGURE_2016,SECU,PBO,-0.022814678,0.115696836,-0.138511514,0.852699588
CARIMA_2019,SECU,PBO,-1.426299696,0.115696836,-1.541996532,1.2123481
VIP-S trial_2020,SECU,PBO,1.587697926,0.115696836,1.472001089,1.535094981
ALLURE_2021,SECU,PBO,-1.393311934,0.115696836,-1.50900877,1.21610957
Cai_2020,SECU,PBO,0.839917753,0.115696836,0.724220917,0.749379866
NCT03055494 ObePso-S,SECU,PBO,-0.656779536,0.115696836,-0.772476373,1.394907594
NCT03535194,SECU,PBO,1.752538756,0.115696836,1.63684192,1.440776866
Papp_2021,SECU,PBO,-1.117480773,0.115696836,-1.233177609,1.621396762
NCT03589885 MATURE,SECU,PBO,1.485728258,0.115696836,1.370031422,1.47831311
METOP_2017,MTX,PBO,-2.529858038,-2.529858038,-4.44E-16,1.097510014
BRIDGE_2017,FUM,PBO,-0.187564961,-0.187564961,0,0.499810332
UltIMMa-1_2018  ,RISAN,PBO,-0.244757028,-0.604417272,0.359660244,0.680512367
UltIMMa-2_2018  ,RISAN,PBO,0.693147181,-0.604417272,1.297564452,1.073806884
SustaIMM_2019,RISAN,PBO,0.719349553,-0.604417272,1.323766825,1.106304236
IMMhance_2020,RISAN,PBO,-1.403643,-0.604417272,-0.799225728,0.48738383
Blauvelt_2021,RISAN,PBO,0.400714505,-0.604417272,1.005131777,1.62423532
BE ABLE 1_2018,BIME,PBO,-1.599868461,-0.54612914,-1.053739322,1.404059395
BE READY_2021,BIME,PBO,-0.302112337,-0.54612914,0.244016802,0.807572554
BE VIVID_2021,BIME,PBO,-0.436309784,-0.54612914,0.109819356,0.827548514
Papp_2018,DEUCRAVA,PBO,-0.497402603,-0.497402603,0,1.143068942
PLANETA_2021,NETA,PBO,-0.238751449,-0.238751449,2.78E-17,1.624282935
Igarashi_2012,USK,PBO,-0.965080896,-0.02358234,-0.941498556,0.89114916
Krueger_2007,USK,PBO,0.810930216,-0.02358234,0.834512556,1.044786993
PHOENIX1_2008,USK,PBO,0.403506244,-0.02358234,0.427088584,0.812888769
PHOENIX2_2008,USK,PBO,-0.207639365,-0.02358234,-0.184057025,0.445269065
PEARL_2011,USK,PBO,-1.625831722,-0.02358234,-1.602249382,1.538574311
AMAGINE-2_2015,USK,PBO,-0.663588378,-0.02358234,-0.640006038,0.606984696
AMAGINE-3_2015,USK,PBO,-0.39909566,-0.02358234,-0.37551332,0.909375523
UltIMMa-1_2018  ,USK,PBO,1.00063188,-0.02358234,1.02421422,0.662215533
UltIMMa-2_2018  ,USK,PBO,1.088459917,-0.02358234,1.112042257,1.145874444
BE VIVID_2021,USK,PBO,0.241381139,-0.02358234,0.264963479,0.82572201
Papp_2015,TILDRA,PBO,0.301718798,-0.026814423,0.32853322,1.482391928
ReSURFACE-1_2017,TILDRA,PBO,1.183505451,-0.026814423,1.210319873,1.033852368
ReSURFACE-2_2017,TILDRA,PBO,-0.465184343,-0.026814423,-0.43836992,0.58479008
Papp_2021,SONELO,PBO,-0.079842888,-0.079842888,0,0.908097498
PIECE_2016,ETA,IFX,0.083381609,0.083381609,0,1.384384968
EXPRESS_2005,PBO,IFX,-0.776761321,-0.201999482,-0.574761838,0.736555672
Torii_2010,PBO,IFX,0.610909082,-0.201999482,0.812908565,1.38520648
EXPRESS-II_2007,PBO,IFX,0.227939724,-0.201999482,0.429939206,0.526242097
Gottlieb_2004a,PBO,IFX,-1.869668532,-0.201999482,-1.66766905,1.433717106
Yang_2012,PBO,IFX,-0.47957308,-0.201999482,-0.277573598,1.622607262
Papp_2012a,PBO,BRODA,0.744440475,0.120434887,0.624005588,1.211376989
AMAGINE-1 2016,PBO,BRODA,-0.38968124,0.120434887,-0.510116127,0.70149757
Nakagawa_2016,PBO,BRODA,-0.00881063,0.120434887,-0.129245516,1.139371751
AMAGINE-2_2015,PBO,BRODA,0.509905425,0.120434887,0.389470539,0.416625734
AMAGINE-3_2015,PBO,BRODA,-0.465103374,0.120434887,-0.585538261,0.618055195
AMAGINE-2_2015,USK,BRODA,-0.153682953,-0.404031369,0.250348416,0.546333154
AMAGINE-3_2015,USK,BRODA,-0.864199034,-0.404031369,-0.460167666,0.740701429
LIBERATE_2017,ETA,APRE,-0.336472237,-0.336472237,0,0.81348767
ESTEEM-1_2015,PBO,APRE,0.284129671,-0.005121103,0.289250774,0.450563952
ESTEEM-2_2015,PBO,APRE,0.178691789,-0.005121103,0.183812892,0.722807438
Papp_2012c,PBO,APRE,-0.15415068,-0.005121103,-0.149029577,0.792278756
LIBERATE_2017,PBO,APRE,-1.957815052,-0.005121103,-1.952693949,1.503962738
Ohtsuki_2017  ,PBO,APRE,-1.495240815,-0.005121103,-1.490119712,1.48476355
Asahina_2010,PBO,ADA,0.290395778,-0.139520161,0.429915939,0.848605202
Gordon_2006,PBO,ADA,-2.758565991,-0.139520161,-2.619045831,1.428129967
REVEAL_2008,PBO,ADA,-0.046631691,-0.139520161,0.092888469,0.453632831
