studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
VOYAGE-1_2016,GUSEL,PBO,3.23835657,3.323773853,-0.085417284,0.441998572
VOYAGE-2_2017,GUSEL,PBO,3.36441813,3.323773853,0.040644277,0.404351486
ORION_2020 ,GUSEL,PBO,3.222070716,3.323773853,-0.101703137,1.39443414
Ohtsuki_2018,GUSEL,PBO,4.509233351,3.323773853,1.185459498,1.409880756
FEATURE_2015,SECU,PBO,4.155250438,3.123739445,1.031510994,1.41085169
ERASURE_2014,SECU,PBO,3.70104999,3.123739445,0.577310545,0.575696904
FIXTURE_2014,SECU,PBO,3.437355305,3.123739445,0.313615861,0.445655238
Papp_2013a,SECU,PBO,1.452045739,3.123739445,-1.671693706,0.997415017
Rich_2013,SECU,PBO,2.67506913,3.123739445,-0.448670315,0.997900746
JUNCTURE_2015,SECU,PBO,4.06405504,3.123739445,0.940315596,1.411701346
Reich_2015,SECU,PBO,2.288676663,3.123739445,-0.835062782,1.384644934
TRANSFIGURE_2016,SECU,PBO,3.714854941,3.123739445,0.591115496,0.99448547
CARIMA_2019,SECU,PBO,3.279443056,3.123739445,0.155703611,1.416476445
VIP-S trial_2020,SECU,PBO,4.212366518,3.123739445,1.088627073,1.409078461
ALLURE_2021,SECU,PBO,3.884802726,3.123739445,0.761063281,0.994548424
Cai_2020,SECU,PBO,3.88783578,3.123739445,0.764096335,0.702517931
NCT03055494 ObePso-S,SECU,PBO,3.42924083,3.123739445,0.305501385,1.407288869
NCT03535194,SECU,PBO,2.454692871,3.123739445,-0.669046574,0.367102047
Papp_2021,SECU,PBO,4.21523802,3.123739445,1.091498576,1.411115268
NCT03589885 MATURE,SECU,PBO,2.632064294,3.123739445,-0.491675151,0.693071957
UltIMMa-1_2018  ,RISAN,PBO,2.732229203,3.114115905,-0.381886702,0.437348165
UltIMMa-2_2018  ,RISAN,PBO,3.601868077,3.114115905,0.487752172,0.700671116
SustaIMM_2019,RISAN,PBO,3.775706448,3.114115905,0.661590543,0.992811044
IMMhance_2020,RISAN,PBO,3.600303307,3.114115905,0.486187401,0.700641636
Blauvelt_2021,RISAN,PBO,2.79379093,3.114115905,-0.320324975,0.697421635
BE ABLE 1_2018,BIME,PBO,4.062054215,3.239563527,0.822490688,1.406659863
BE READY_2021,BIME,PBO,4.358177148,3.239563527,1.118613621,0.994314506
BE VIVID_2021,BIME,PBO,2.870576919,3.239563527,-0.368986609,0.488364153
Papp_2018,DEUCRAVA,PBO,2.638091613,2.638091613,0,0.993864189
NCT02762994,NETA,PBO,1.295322583,1.501500992,-0.206178409,0.412410979
PLANETA_2021,NETA,PBO,3.904383277,1.501500992,2.402882286,1.407909939
Igarashi_2012,USK,PBO,2.500655007,2.882542731,-0.381887724,0.990780917
Krueger_2007,USK,PBO,3.167582531,2.882542731,0.2850398,0.995487351
PHOENIX1_2008,USK,PBO,2.993773409,2.882542731,0.111230678,0.446230304
PHOENIX2_2008,USK,PBO,4.153661139,2.882542731,1.271118409,0.576448261
PEARL_2011,USK,PBO,3.38466808,2.882542731,0.502125349,1.000136603
AMAGINE-2_2015,USK,PBO,2.6757336,2.882542731,-0.206809131,0.317053023
AMAGINE-3_2015,USK,PBO,3.400877842,2.882542731,0.518335111,0.447595708
UltIMMa-1_2018  ,USK,PBO,2.148034333,2.882542731,-0.734508398,0.451669793
UltIMMa-2_2018  ,USK,PBO,3.14684805,2.882542731,0.264305319,0.707793405
VIP-U trial_2020,USK,PBO,2.898976605,2.882542731,0.016433874,1.419262867
BE VIVID_2021,USK,PBO,2.333245201,2.882542731,-0.54929753,0.494128037
Papp_2015,TILDRA,PBO,2.74926047,2.847701307,-0.098440837,0.99224414
ReSURFACE-1_2017,TILDRA,PBO,2.60754014,2.847701307,-0.240161167,0.496545337
ReSURFACE-2_2017,TILDRA,PBO,3.38069886,2.847701307,0.532997553,0.704452228
Papp_2021,SONELO,PBO,4.17770219,4.17770219,0,1.408502121
Flystrom_2008,MTX,CICLO,-0.763302167,-0.009704733,-0.753597434,0.559879499
Heydendael_2003,MTX,CICLO,0.194156014,-0.009704733,0.203860748,0.291200198
PIECE_2016,ETA,IFX,-2.219203484,-2.219203484,0,1.008227028
EXPRESS_2005,PBO,IFX,-3.784189634,-3.750740507,-0.033449127,0.994738499
Torii_2010,PBO,IFX,-3.064443415,-3.750740507,0.686297091,1.404218995
EXPRESS-II_2007,PBO,IFX,-4.449551124,-3.750740507,-0.698810618,0.998735891
Gottlieb_2004a,PBO,IFX,-3.268531415,-3.750740507,0.482209091,0.992544998
Yang_2012,PBO,IFX,-3.95567177,-3.750740507,-0.204931264,1.409541136
Papp_2012a,PBO,BRODA,-3.759750105,-3.280934949,-0.478815156,1.406758198
AMAGINE-1 2016,PBO,BRODA,-4.229133553,-3.280934949,-0.948198604,0.705319208
Nakagawa_2016,PBO,BRODA,-3.069081424,-3.280934949,0.211853524,0.990181626
AMAGINE-2_2015,PBO,BRODA,-2.916925504,-3.280934949,0.364009445,0.311950978
AMAGINE-3_2015,PBO,BRODA,-3.637880148,-3.280934949,-0.356945199,0.444240997
AMAGINE-2_2015,USK,BRODA,-0.241191904,-0.239030035,-0.002161869,0.065639346
AMAGINE-3_2015,USK,BRODA,-0.237002306,-0.239030035,0.002027729,0.063570339
LIBERATE_2017,ETA,APRE,0.348306694,0.348306694,0,0.343599297
ESTEEM-1_2015,PBO,APRE,-3.317738406,-1.93941501,-1.378323396,1.006407651
ESTEEM-2_2015,PBO,APRE,-1.795389237,-1.93941501,0.144025773,0.728549193
Papp_2012c,PBO,APRE,-1.992430165,-1.93941501,-0.053015155,1.015038438
LIBERATE_2017,PBO,APRE,-1.398270552,-1.93941501,0.541144458,0.626668742
Ohtsuki_2017  ,PBO,APRE,-2.18539012,-1.93941501,-0.24597511,1.018709203
Asahina_2010,PBO,ADA,-3.768143285,-2.728673184,-1.039470101,1.409889628
Gordon_2006,PBO,ADA,-3.653950038,-2.728673184,-0.925276854,1.413774629
REVEAL_2008,PBO,ADA,-2.989900395,-2.728673184,-0.261227211,0.331816647
Gordon_2015_X-PLORE,PBO,ADA,-2.920908482,-2.728673184,-0.192235298,1.002779259
Cai_2016,PBO,ADA,-2.780691897,-2.728673184,-0.052018713,0.569385326
VOYAGE-1_2016,PBO,ADA,-2.850464182,-2.728673184,-0.121790998,0.444165462
VOYAGE-2_2017,PBO,ADA,-2.961830722,-2.728673184,-0.233157538,0.408928894
Elewski_2016,PBO,ADA,-1.895020798,-2.728673184,0.833652387,0.381706913
Gordon_2015_X-PLORE,GUSEL,ADA,0.053934035,0.372721687,-0.318787652,0.186754789
VOYAGE-1_2016,GUSEL,ADA,0.387892387,0.372721687,0.0151707,0.06434243
VOYAGE-2_2017,GUSEL,ADA,0.402587408,0.372721687,0.029865721,0.073852197
IMMvent_2019,RISAN,ADA,0.4245992,0.4245992,0,0.070141768
BE SURE_2021,BIME,ADA,0.506465647,0.506465647,0,0.080212351
BRIDGE_2017,PBO,FUM,-1.497380504,-1.497380504,2.22E-16,0.408343501
Fallaharani_2011,MTX,FUM,0.693147181,0.693147181,0,1.197219
UNCOVER-2_2015,ETA,IXE,-1.247918683,-1.069138211,-0.178780472,0.113565904
UNCOVER-3_2015,ETA,IXE,-0.954988022,-1.069138211,0.114150189,0.090745738
Leonardi_2012,PBO,IXE,-3.309847603,-3.628396278,0.318548675,1.404410787
UNCOVER-2_2015,PBO,IXE,-4.696042296,-3.628396278,-1.067646018,0.997403006
UNCOVER-3_2015,PBO,IXE,-3.065465612,-3.628396278,0.562930666,0.402658451
UNCOVER-1_2016,PBO,IXE,-4.983551192,-3.628396278,-1.355154914,0.705854255
NCT03364309,PBO,IXE,-3.550273986,-3.628396278,0.078122292,0.699563671
IXORA-R_2020,GUSEL,IXE,-0.257087207,-0.257087207,0,0.047526951
IXORA-S_2017  ,USK,IXE,-0.341753243,-0.341753243,0,0.075343225
Hunter_1963,PBO,MTX,-0.990398704,-1.758964091,0.768565387,1.599450455
METOP_2017,PBO,MTX,-2.364558853,-1.758964091,-0.605594762,1.419781249
Flystrom_2008,CICLO,MTX,0.763302167,0.009704733,0.753597434,0.559879499
Heydendael_2003,CICLO,MTX,-0.194156014,0.009704733,-0.203860748,0.291200198
Fallaharani_2011,FUM,MTX,-0.693147181,-0.693147181,0,1.197219
CIMPACT_2018,ETA,CERTO,-0.179393297,-0.179393297,2.78E-17,0.147815239
Reich_2012a,PBO,CERTO,-3.201781392,-2.982036884,-0.219744508,0.997137927
CIMPASI-1_2018,PBO,CERTO,-2.999005599,-2.982036884,-0.016968715,0.994392561
CIMPASI-2_2018,PBO,CERTO,-2.570766459,-2.982036884,0.411270425,0.696060468
CIMPACT_2018,PBO,CERTO,-3.625042441,-2.982036884,-0.643005558,1.410254504
Umezawa_2021,PBO,CERTO,-3.547435063,-2.982036884,-0.565398179,1.402658023
Gordon_2015_X-PLORE,PBO,GUSEL,-2.974842517,-3.323773853,0.348931336,0.990803746
VOYAGE-1_2016,PBO,GUSEL,-3.23835657,-3.323773853,0.085417284,0.441998572
VOYAGE-2_2017,PBO,GUSEL,-3.36441813,-3.323773853,-0.040644277,0.404351486
ORION_2020 ,PBO,GUSEL,-3.222070716,-3.323773853,0.101703137,1.39443414
Ohtsuki_2018,PBO,GUSEL,-4.509233351,-3.323773853,-1.185459498,1.409880756
Gordon_2015_X-PLORE,ADA,GUSEL,-0.053934035,-0.372721687,0.318787652,0.186754789
VOYAGE-1_2016,ADA,GUSEL,-0.387892387,-0.372721687,-0.0151707,0.06434243
VOYAGE-2_2017,ADA,GUSEL,-0.402587408,-0.372721687,-0.029865721,0.073852197
IXORA-R_2020,IXE,GUSEL,0.257087207,0.257087207,0,0.047526951
ECLIPSE_2019,SECU,GUSEL,0.096083489,0.096083489,0,0.038070821
FIXTURE_2014,ETA,SECU,-0.842100598,-0.842100598,0,0.116335569
FEATURE_2015,PBO,SECU,-4.155250438,-3.123739445,-1.031510994,1.41085169
ERASURE_2014,PBO,SECU,-3.70104999,-3.123739445,-0.577310545,0.575696904
FIXTURE_2014,PBO,SECU,-3.437355305,-3.123739445,-0.313615861,0.445655238
Papp_2013a,PBO,SECU,-1.452045739,-3.123739445,1.671693706,0.997415017
Rich_2013,PBO,SECU,-2.67506913,-3.123739445,0.448670315,0.997900746
JUNCTURE_2015,PBO,SECU,-4.06405504,-3.123739445,-0.940315596,1.411701346
Reich_2015,PBO,SECU,-2.288676663,-3.123739445,0.835062782,1.384644934
TRANSFIGURE_2016,PBO,SECU,-3.714854941,-3.123739445,-0.591115496,0.99448547
CARIMA_2019,PBO,SECU,-3.279443056,-3.123739445,-0.155703611,1.416476445
VIP-S trial_2020,PBO,SECU,-4.212366518,-3.123739445,-1.088627073,1.409078461
ALLURE_2021,PBO,SECU,-3.884802726,-3.123739445,-0.761063281,0.994548424
Cai_2020,PBO,SECU,-3.88783578,-3.123739445,-0.764096335,0.702517931
NCT03055494 ObePso-S,PBO,SECU,-3.42924083,-3.123739445,-0.305501385,1.407288869
NCT03535194,PBO,SECU,-2.454692871,-3.123739445,0.669046574,0.367102047
Papp_2021,PBO,SECU,-4.21523802,-3.123739445,-1.091498576,1.411115268
NCT03589885 MATURE,PBO,SECU,-2.632064294,-3.123739445,0.491675151,0.693071957
ECLIPSE_2019,GUSEL,SECU,-0.096083489,-0.096083489,0,0.038070821
IMMerge_2021,RISAN,SECU,0.116845484,0.116845484,-1.39E-17,0.073332987
BE RADIANT_2021,BIME,SECU,0.140344591,0.140344591,0,0.037249054
CLEAR_2015,USK,SECU,-0.319176091,-0.334989853,0.015813761,0.055245039
CLARITY_2018,USK,SECU,-0.345819028,-0.334989853,-0.010829176,0.045716545
Papp_2021,SONELO,SECU,-0.03753583,-0.03753583,0,0.114977229
UltIMMa-1_2018  ,PBO,RISAN,-2.732229203,-3.114115905,0.381886702,0.437348165
UltIMMa-2_2018  ,PBO,RISAN,-3.601868077,-3.114115905,-0.487752172,0.700671116
SustaIMM_2019,PBO,RISAN,-3.775706448,-3.114115905,-0.661590543,0.992811044
IMMhance_2020,PBO,RISAN,-3.600303307,-3.114115905,-0.486187401,0.700641636
Blauvelt_2021,PBO,RISAN,-2.79379093,-3.114115905,0.320324975,0.697421635
IMMvent_2019,ADA,RISAN,-0.4245992,-0.4245992,0,0.070141768
IMMerge_2021,SECU,RISAN,-0.116845484,-0.116845484,1.39E-17,0.073332987
UltIMMa-1_2018  ,USK,RISAN,-0.58419487,-0.502974972,-0.081219898,0.12201173
UltIMMa-2_2018  ,USK,RISAN,-0.455020027,-0.502974972,0.047954944,0.110994052
Papp_2017b,USK,RISAN,-0.436717652,-0.502974972,0.06625732,0.20587376
BE ABLE 1_2018,PBO,BIME,-4.062054215,-3.239563527,-0.822490688,1.406659863
BE READY_2021,PBO,BIME,-4.358177148,-3.239563527,-1.118613621,0.994314506
BE VIVID_2021,PBO,BIME,-2.870576919,-3.239563527,0.368986609,0.488364153
BE SURE_2021,ADA,BIME,-0.506465647,-0.506465647,0,0.080212351
BE RADIANT_2021,SECU,BIME,-0.140344591,-0.140344591,0,0.037249054
BE VIVID_2021,USK,BIME,-0.537331718,-0.537331718,0,0.082209784
Papp_2018,PBO,DEUCRAVA,-2.638091613,-2.638091613,0,0.993864189
NCT02762994,PBO,NETA,-1.295322583,-1.501500992,0.206178409,0.412410979
PLANETA_2021,PBO,NETA,-3.904383277,-1.501500992,-2.402882286,1.407909939
ACCEPT_2010,ETA,USK,-0.588947562,-0.588947562,0,0.110220682
Igarashi_2012,PBO,USK,-2.500655007,-2.882542731,0.381887724,0.990780917
Krueger_2007,PBO,USK,-3.167582531,-2.882542731,-0.2850398,0.995487351
PHOENIX1_2008,PBO,USK,-2.993773409,-2.882542731,-0.111230678,0.446230304
PHOENIX2_2008,PBO,USK,-4.153661139,-2.882542731,-1.271118409,0.576448261
PEARL_2011,PBO,USK,-3.38466808,-2.882542731,-0.502125349,1.000136603
AMAGINE-2_2015,PBO,USK,-2.6757336,-2.882542731,0.206809131,0.317053023
AMAGINE-3_2015,PBO,USK,-3.400877842,-2.882542731,-0.518335111,0.447595708
UltIMMa-1_2018  ,PBO,USK,-2.148034333,-2.882542731,0.734508398,0.451669793
UltIMMa-2_2018  ,PBO,USK,-3.14684805,-2.882542731,-0.264305319,0.707793405
VIP-U trial_2020,PBO,USK,-2.898976605,-2.882542731,-0.016433874,1.419262867
BE VIVID_2021,PBO,USK,-2.333245201,-2.882542731,0.54929753,0.494128037
AMAGINE-2_2015,BRODA,USK,0.241191904,0.239030035,0.002161869,0.065639346
AMAGINE-3_2015,BRODA,USK,0.237002306,0.239030035,-0.002027729,0.063570339
IXORA-S_2017  ,IXE,USK,0.341753243,0.341753243,0,0.075343225
CLEAR_2015,SECU,USK,0.319176091,0.334989853,-0.015813761,0.055245039
CLARITY_2018,SECU,USK,0.345819028,0.334989853,0.010829176,0.045716545
UltIMMa-1_2018  ,RISAN,USK,0.58419487,0.502974972,0.081219898,0.12201173
UltIMMa-2_2018  ,RISAN,USK,0.455020027,0.502974972,-0.047954944,0.110994052
Papp_2017b,RISAN,USK,0.436717652,0.502974972,-0.06625732,0.20587376
BE VIVID_2021,BIME,USK,0.537331718,0.537331718,0,0.082209784
ReSURFACE-2_2017,ETA,TILDRA,-0.565500605,-0.565500605,0,0.119973677
Papp_2015,PBO,TILDRA,-2.74926047,-2.847701307,0.098440837,0.99224414
ReSURFACE-1_2017,PBO,TILDRA,-2.60754014,-2.847701307,0.240161167,0.496545337
ReSURFACE-2_2017,PBO,TILDRA,-3.38069886,-2.847701307,-0.532997553,0.704452228
Papp_2021,PBO,SONELO,-4.17770219,-4.17770219,0,1.408502121
Papp_2021,SECU,SONELO,0.03753583,0.03753583,0,0.114977229
