unique_id,name,bias,year_publication,treat,treat_class,nPASI90,rPASI90,rAE,nAE,rSAE,nSAE,dlqi,sddlqi,ndlqi,age,male_percentage,weight,bmi
38,Leonardi_2012,L,2012,PBO,PBO,27,0,17,27,1,27,0,NA,27,46,0.57,93,.
40,EXPRESS-II_2007,L,2007,IFX,ATA,627,258,412,627,12,627,-10.000797,7.013155,627,44,0.66,92,.
40,EXPRESS-II_2007,L,2007,PBO,PBO,208,1,116,208,5,208,-0.60000002,5,208,44,0.66,92,.
42,Gottlieb_2004a,L,2004,IFX,ATA,198,102,154,198,12,198,-9.5500002,7.270731,198,44,0.63,NA,.
42,Gottlieb_2004a,L,2004,PBO,PBO,51,1,32,51,0,51,-2.5999999,6.6999998,51,44,0.63,NA,.
50,Hunter_1963,H,1963,MTX,CSA,19,1,0,19,0,19,0,NA,19,NA,,NA,.
50,Hunter_1963,H,1963,PBO,PBO,17,0,0,17,0,17,0,NA,17,NA,,NA,.
52,Reich_2012a,L,2012,CERTO,ATA,118,50,83,118,7,118,-9.1000004,NA,118,43,0.7,82,27
52,Reich_2012a,L,2012,PBO,PBO,58,1,41,58,1,58,-0.80000001,NA,58,43,0.7,82,27
55,Yang_2012,H,2012,IFX,ATA,84,48,36,84,1,84,-8,7.0999999,84,40,0.74,68,.
55,Yang_2012,H,2012,PBO,PBO,45,0,17,45,0,45,-1.5,5.0999999,45,40,0.74,68,.
66,ESTEEM-2_2015,L,2015,APRE,SM,275,24,185,275,5,275,-6.6999998,6.1399999,275,45.5,0.67,91,31
66,ESTEEM-2_2015,L,2015,PBO,PBO,138,2,82,138,3,138,-2.7,6.23,138,45.5,0.67,91,31
67,Bachelez_2015,L,2015,ETA,ATA,336,108,192,336,7,336,-8.9700003,7.3299999,336,44,0.68,81,.
67,Bachelez_2015,L,2015,PBO,PBO,108,1,55,108,2,108,-1.85,6.8600001,108,44,0.68,81,.
