Study ID,Year,Author,t,y1,y1bas,sd1,sd1bas,n1,y2,y2bas,sd2,sd2bas,n2,HTN stage,Intervention (weeks),rob,Age,Male %,Female %,BMI,Body fat %,Fasting glucose,Hba1c,eGFR
34,1998,Bao,CONTROL,132.52,135.9,8.21,11.96,16,77.39,75.4,6.24,7.83,16,2,16,H,53.8,44,56,31.45,,,,
34,1998,Bao,DIET,125.16,132.1,6.13,11.96,14,71.96,74.9,4.28,7.42,14,2,16,H,53.8,44,56,31.45,,,,
35,2010,Basu,CONTROL,127.3,130,9,9,12,80.3,80,9,7.27,12,2,8,H,46.5,8.5,91.5,37.7,,90,,
35,2010,Basu,DIET,134.5,135,13.17,14.33,15,84.2,85,9.68,12.39,15,2,8,H,46.5,8.5,91.5,37.7,,90,,
36,2016,Dashtabi,CONTROL,129.46,130.89,4.58,4.13,28,87.61,86.43,5.15,5.41,28,2,8,H,42.36,51,49,34.85,,97.15,5.49,
36,2016,Dashtabi,DIET,126.85,130.93,4.63,4.81,27,85.93,87.04,4.16,4.22,27,2,8,H,42.36,51,49,34.85,,97.15,5.49,
37,2016,Dashtabi,CONTROL,129.46,130.89,4.58,4.13,28,87.61,86.43,5.15,5.41,28,2,8,H,43.23,54,46,32.56,,95.3,5.43,
37,2016,Dashtabi,DIET,124.29,132.14,3.52,4.79,28,82.68,88.21,4.19,4.75,28,2,8,H,43.23,54,46,32.56,,95.3,5.43,
38,1984,Fagerberg,CONTROL,148.3,151.7,13.17,16.26,15,94.6,98.7,7.36,8.52,15,3,12,L,51.1,100,0,30.75,,,,
38,1984,Fagerberg,DIET,138.8,155.5,13.17,16.26,15,90.5,101.3,9.3,9.29,15,3,12,L,51.1,100,0,30.75,,,,
39,2024,Goraya,CONTROL,134.59,157.9,4.1,8.8,51,,,,,,3,260,M,49.1,73,27,28.03,,,,101.33
39,2024,Goraya,DIET,128.91,158.3,4.8,8.4,51,,,,,,3,260,M,49.5,73,27,28.27,,,,101.84
40,2024,Goraya,CONTROL,134.59,157.9,4.1,8.8,51,,,,,,3,260,M,49.1,73,27,28.03,,,,101.33
40,2024,Goraya,DIET,135.02,156.5,5.01,8.9,51,,,,,,3,260,M,48,76,24,28.16,,,,101.9
41,2023,Ismail,CONTROL,164.26,168.4,2.66,2.66,28,93.9,97.7,1.44,2.49,28,3,24,M,66.01,38,62,30.98,,,,
41,2023,Ismail,DIET,160.86,167.4,3.28,3.67,30,90.56,98.6,3.5,2.47,30,3,24,M,66.01,38,62,30.98,,,,
42,2022,Janssen,CONTROL,133.26,128.1,16.37,,21,84.7,84,14.81,,21,2,6,M,50.63,32.5,67.5,32.85,,,,
