,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,sample_size,age,male_percentage,weight,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,r21,r22
83,Papp_2021,PBO,SONELO,-4.17770219005826,1.4085021212638782,0,52,129,52,0.07984288751101724,0.9080974982719009,1,208,5,208,0.5,0,166,Papp_2021,2021,1,313,46.0,0.73,91.0,,RR,beneficial,RR,harmful,PBO,SONELO,PBO,AIL17,0,129,1,5
84,Papp_2021,SECU,SONELO,0.037535830234616804,0.11497722867504435,34,53,129,53,-1.0376378854614752,1.4691257366078612,0,208,5,208,0.5,0,166,Papp_2021,2021,1,313,46.0,0.73,91.0,,RR,beneficial,RR,harmful,SECU,SONELO,AIL17,AIL17,34,129,0,5
85,PEARL_2011,PBO,USK,-3.3846680797109445,1.0001366026917102,1,60,30,60,1.6258317222097767,1.5385743114255286,2,61,0,61,0.5,0,6,PEARL_2011,2011,1,121,41.0,0.85,74.0,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,1,30,2,0
86,PHOENIX1_2008,PBO,USK,-2.993773409068658,0.4462303040024539,5,255,200,255,-0.4035062436228313,0.8128887690679389,2,511,6,511,0.0,0,4,PHOENIX1_2008,2008,1,766,45.0,0.69,93.5,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,5,200,2,6
87,PHOENIX2_2008,PBO,USK,-4.15366113937852,0.5764482611606074,3,410,382,410,0.20763936477824455,0.44526906510301284,8,820,13,820,0.0,0,5,PHOENIX2_2008,2008,1,1230,47.0,0.68,91.0,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,3,382,8,13
88,PIECE_2016,ETA,IFX,-2.2192034840549946,1.008227027573867,1,23,10,23,0.083381608939051,1.384384967821608,1,25,1,25,0.0,0,79,PIECE_2016,2016,3,48,44.0,0.65,,,RR,beneficial,RR,harmful,ETA,IFX,ATA,ATA,1,10,1,1
89,PLANETA_2021,NETA,PBO,3.904383277411332,1.4079099386874507,94,169,0,169,-0.23875144898020073,1.6242829345713012,1,44,0,44,0.5,0,165,PLANETA_2021,2021,2,213,41.0,0.73,87.0,28,RR,beneficial,RR,harmful,NETA,PBO,AIL17,PBO,94,0,1,0
90,Reich_2012a,CERTO,PBO,3.201781391508901,0.9971379264768083,50,118,1,118,1.235668535136068,1.0569489993730121,7,58,1,58,0.0,0,52,Reich_2012a,2012,1,176,43.0,0.7,82.0,27,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,50,1,7,1
91,Reich_2015,PBO,SECU,-2.288676662947914,1.3846449338258904,0,10,42,10,-0.5540756075598073,1.4237434861443026,0,90,7,90,0.5,0,81,Reich_2015,2015,1,100,,,,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,42,0,7
92,ReSURFACE-1_2017,PBO,TILDRA,-2.6075401395781332,0.49654533648344146,4,155,216,155,-1.1835054504753955,1.0338523678344511,1,617,13,617,0.0,0,125,ReSURFACE-1_2017,2017,1,772,47.0,0.69,88.5,,RR,beneficial,RR,harmful,PBO,TILDRA,PBO,AIL23,4,216,1,13
93,ReSURFACE-2_2017,ETA,PBO,2.8151982555404045,0.710858796488556,67,313,2,313,-0.1367313953551935,0.6190734998915498,7,156,4,156,0.0,0,126,ReSURFACE-2_2017,2017,1,1090,45.0,0.51,88.5,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,67,2,7,4
94,ReSURFACE-2_2017,ETA,TILDRA,-0.5655006045734098,0.11997367740794998,67,313,234,313,0.3284529474545933,0.48790567604824714,7,621,10,621,0.0,0,126,ReSURFACE-2_2017,2017,1,1090,45.0,0.51,88.5,,RR,beneficial,RR,harmful,ETA,TILDRA,ATA,AIL23,67,234,7,10
95,ReSURFACE-2_2017,PBO,TILDRA,-3.3806988601138146,0.704452228263291,2,156,234,156,0.4651843428097867,0.5847900799702501,4,621,10,621,0.0,0,126,ReSURFACE-2_2017,2017,1,1090,45.0,0.51,88.5,,RR,beneficial,RR,harmful,PBO,TILDRA,PBO,AIL23,2,234,4,10
96,REVEAL_2008,ADA,PBO,2.989900395347044,0.33181664742097855,366,814,9,814,0.04663169132879421,0.4536328311324456,15,398,7,398,0.0,0,23,REVEAL_2008,2008,1,1212,44.0,0.66,93.0,,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,366,9,15,7
97,Rich_2013,PBO,SECU,-2.6750691301869955,0.9979007455414656,1,67,73,67,-0.8695163388266047,1.0322018219072082,1,337,12,337,0.0,0,11,Rich_2013,2013,1,404,44.0,0.76,,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,73,1,12
98,Strober_2011,ETA,PBO,1.539416763221583,0.5910052765222701,27,139,3,139,-1.3509549946745816,1.2161072594581428,1,72,2,72,0.0,0,85,Strober_2011,2011,1,211,45.0,0.62,95.0,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,27,3,1,2
99,SustaIMM_2019,PBO,RISAN,-3.7757064483243954,0.9928110439806178,1,58,85,58,-0.7193495529539694,1.1063042362603206,1,113,4,113,0.0,0,116,SustaIMM_2019,2019,1,171,52.0,0.84,74.0,26.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,1,85,1,4
100,Torii_2010,IFX,PBO,3.0644434152179776,1.4042189949988189,19,35,0,35,-0.6109090823229733,1.3852064800892332,1,19,1,19,0.0,0,18,Torii_2010,2010,2,54,45.0,0.67,69.0,25,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,19,0,1,1
101,TRANSFIGURE_2016,PBO,SECU,-3.714854940517197,0.9944854697418486,1,65,84,65,0.022814677766171482,0.852699588145147,2,133,4,133,0.0,0,123,TRANSFIGURE_2016,2018,1,198,44.0,0.81,90.5,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,84,2,4
102,Tyring_2006,ETA,PBO,2.7816412734942575,0.5088545325987787,65,311,4,311,0.6866955452784568,0.702529942395131,6,309,3,309,0.0,0,31,Tyring_2006,2006,1,620,46.0,0.68,,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,65,4,6,3
103,UltIMMa-1_2018  ,PBO,RISAN,-2.7322292029981887,0.4373481644802414,5,102,229,102,0.2447570277347471,0.6805123664839884,3,304,7,304,0.0,0,101,UltIMMa-1_2018  ,2018,1,506,48.0,0.71,,29.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,5,229,3,7
104,UltIMMa-1_2018  ,PBO,USK,-2.1480343331454477,0.4516697933677836,5,102,42,102,-1.000631880307906,0.6622155327117493,3,100,8,100,0.0,0,101,UltIMMa-1_2018  ,2018,1,506,48.0,0.71,,29.5,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,5,42,3,8
105,UltIMMa-1_2018  ,RISAN,USK,0.584194869852741,0.12201173038846518,229,304,42,304,-1.245388908042653,0.5045469940183296,7,100,8,100,0.0,0,101,UltIMMa-1_2018  ,2018,1,506,48.0,0.71,,29.5,RR,beneficial,RR,harmful,RISAN,USK,AIL23,AIL1223,229,42,7,8
106,UltIMMa-2_2018  ,PBO,RISAN,-3.6018680771243066,0.7006711156945059,2,98,220,98,-0.6931471805599453,1.0738068841694934,1,294,6,294,0.0,0,102,UltIMMa-2_2018  ,2018,1,491,47.0,0.68,,31,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,2,220,1,6
107,UltIMMa-2_2018  ,PBO,USK,-3.1468480496860955,0.7077934048937005,2,98,47,98,-1.0884599172040916,1.1458744440817545,1,99,3,99,0.0,0,102,UltIMMa-2_2018  ,2018,1,491,47.0,0.68,,31,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,2,47,1,3
108,UltIMMa-2_2018  ,RISAN,USK,0.4550200274382113,0.11099405229519106,220,294,47,294,-0.3953127366441464,0.6974938202986262,6,99,3,99,0.0,0,102,UltIMMa-2_2018  ,2018,1,491,47.0,0.68,,31,RR,beneficial,RR,harmful,RISAN,USK,AIL23,AIL1223,220,47,6,3
109,Umezawa_2021,CERTO,PBO,3.547435062732088,1.4026580225342136,66,101,0,101,-0.663876798259832,1.204839189037048,2,26,1,26,0.0,0,140,Umezawa_2021,2021,1,127,50.0,0.78,73.0,26.5,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,66,0,2,1
110,UNCOVER-1_2016,IXE,PBO,4.983551192188936,0.7058542552557342,586,865,2,865,0.5843124286339328,0.502074994972409,18,431,5,431,0.0,0,86,UNCOVER-1_2016,2016,1,1296,46.0,0.68,92.0,,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,586,2,18,5
111,UNCOVER-2_2015,ETA,IXE,-1.2479186831983122,0.11356590371365029,67,358,455,358,0.1821783005799713,0.4446314384715103,8,698,13,698,0.0,0,69,UNCOVER-2_2015,2015,1,1224,45.0,0.67,91.0,31,RR,beneficial,RR,harmful,ETA,IXE,ATA,AIL17,67,455,8,13
112,UNCOVER-2_2015,ETA,PBO,3.4481236123935246,1.0030850891587224,67,358,1,358,0.6297253541224493,0.7850186768212802,8,168,2,168,0.0,0,69,UNCOVER-2_2015,2015,1,1224,45.0,0.67,91.0,31,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,67,1,8,2
113,UNCOVER-2_2015,IXE,PBO,4.696042295591837,0.9974030060557139,455,698,1,698,0.44754705354247803,0.7546774352094072,13,168,2,168,0.0,0,69,UNCOVER-2_2015,2015,1,1224,45.0,0.67,91.0,31,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,455,1,13,2
114,UNCOVER-3_2015,ETA,IXE,-0.9549880218278389,0.09074573828088148,98,382,514,382,-0.39634452371135537,0.5125932585962549,5,771,15,771,0.0,0,70,UNCOVER-3_2015,2015,1,1346,46.0,0.68,91.0,30.5,RR,beneficial,RR,harmful,ETA,IXE,ATA,AIL17,98,514,5,15
115,UNCOVER-3_2015,ETA,PBO,2.110477589740827,0.41118317098580315,98,382,6,382,-0.6827304197016895,0.6262594125461274,5,193,5,193,0.0,0,70,UNCOVER-3_2015,2015,1,1346,46.0,0.68,91.0,30.5,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,98,6,5,5
116,UNCOVER-3_2015,IXE,PBO,3.065465611568666,0.4026584507333941,514,771,6,771,-0.2863858959903341,0.5100865638841984,15,193,5,193,0.0,0,70,UNCOVER-3_2015,2015,1,1346,46.0,0.68,91.0,30.5,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,514,6,15,5
117,Vandekerkhof_2008,ETA,PBO,1.8292425624827955,1.0221385815150643,13,96,1,96,-1.1411719030869056,0.8950852117155573,2,46,3,46,0.0,0,32,Vandekerkhof_2008,2008,1,143,45.0,0.59,,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,13,1,2,3
118,VIP-S trial_2020,PBO,SECU,-4.212366517960853,1.409078460882952,0,45,34,45,-1.5876979257976944,1.5350949813213162,0,46,2,46,0.5,0,138,VIP-S trial_2020,2020,1,91,47.5,0.67,94.5,32,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,34,0,2
119,VIP-U trial_2020,PBO,USK,-2.898976605089683,1.419262866964156,0,21,9,21,,,0,22,0,22,0.5,0,136,VIP-U trial_2020,2020,2,43,42.5,0.7,100.5,33.5,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,0,9,0,0
120,VOYAGE-1_2016,ADA,GUSEL,-0.38789238734544035,0.0643424302077852,166,334,241,334,-0.30276531466310946,0.5344465745168615,6,329,8,329,0.0,0,94,VOYAGE-1_2016,2016,1,837,44.0,0.73,,30,RR,beneficial,RR,harmful,ADA,GUSEL,ATA,AIL23,166,241,6,8
121,VOYAGE-1_2016,ADA,PBO,2.8504641821602714,0.4441654623816587,166,334,5,334,0.04106148679777392,0.7008986100622332,6,174,3,174,0.0,0,94,VOYAGE-1_2016,2016,1,837,44.0,0.73,,30,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,166,5,6,3
122,VOYAGE-1_2016,GUSEL,PBO,3.238356569505712,0.4419985718062535,241,329,5,329,0.34382680146088335,0.6704824331917579,8,174,3,174,0.0,0,94,VOYAGE-1_2016,2016,1,837,44.0,0.73,,30,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,241,5,8,3
123,VOYAGE-2_2017,ADA,GUSEL,-0.4025874082805493,0.07385219657397929,116,248,347,248,0.4054651081081644,0.5344326707545979,6,496,8,496,0.0,0,95,VOYAGE-2_2017,2016,1,992,44.0,0.7,,30,RR,beneficial,RR,harmful,ADA,GUSEL,ATA,AIL23,116,347,6,8
124,VOYAGE-2_2017,ADA,PBO,2.9618307218783095,0.40892889381016695,116,248,6,248,0.6931471805599453,0.7013811259728677,6,248,3,248,0.0,0,95,VOYAGE-2_2017,2016,1,992,44.0,0.7,,30,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,116,6,6,3
125,VOYAGE-2_2017,GUSEL,PBO,3.364418130158859,0.4043514856536277,347,496,6,496,0.28768207245178085,0.6725213351534353,8,248,3,248,0.0,0,95,VOYAGE-2_2017,2016,1,992,44.0,0.7,,30,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,347,6,8,3
126,Yang_2012,IFX,PBO,3.9556717700971595,1.4095411363973673,48,84,0,84,0.47957308026188616,1.6226072615275753,1,45,0,45,0.5,0,55,Yang_2012,2012,3,129,40.0,0.74,68.0,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,48,0,1,0
