treatment,pscore
ADA,0.45
APRE,0.22
BIME,0.9
BRODA,0.66
CERTO,0.37
CICLO,0.27
DEUCRAVA,0.48
ETA,0.3
FUM,0.12
GUSEL,0.65
IFX,0.96
IXE,0.9
MTX,0.26
NETA,0.13
PBO,0
RISAN,0.84
SECU,0.75
SONELO,0.72
TILDRA,0.5
USK,0.52
